0,1
Apache Junction Rock and Gem Club,Apache Junction
Black Canyon City Rock Club,Black Canyon City
Daisy Mountain Rock & Mineral Club,Anthem
Gila County Gem & Mineral Society,Miami
Huachuca Mineral and Gem Club,Sierra Vista
Lake Havasu Gem & Mineral Society,Lake Havasu City
Mineralogical Society of Arizona,Scottsdale
Mingus Gem & Mineral Club,Cottonwood
Mohave County Gemstoners,Kingman
Old Pueblo Lapidary Club,Tucson
Pinal Gem and Mineral Society,Coolidge
Prescott Gem & Mineral Club,East Chino Valley
Quartzsite Roadrunners Gem & Mineral Club,Quartzsite
Rockhounds West,Sun City West
Sedona Gem & Mineral Club,Sedona
Silvery Colorado River Rock Club,Bullhead City
Sunsites Gem and Mineral Club,Pearce
Tucson Gem and Mineral Society,Tucson
West Valley Rock & Mineral Club,Buckeye
White Mountain Gem & Mineral Club,Show Low
Wickenburg Gem and Mineral Society,Wickenburg
